point_id,longitude,latitude,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,label,sample_class,sample_type,location,source,source_report,NUID,page
ME/JBP/2024/BRS_14/49367,79.636,21.67,1298.0,1483.0,1540.0,2714.0,3322.0,2486.0,0.2759755551815033,-0.10072895884513855,1.1864407062530518,1.3362832069396973,0.08,1,authoritative_manganese_positive,BRS,Mineralization suspected within quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_15/49367,79.64,21.672,1206.0,1435.0,1396.0,2972.0,3045.0,2225.0,0.360805869102478,-0.012132291682064533,1.157545566558838,1.3685393333435059,25.35,1,authoritative_manganese_positive,BRS,Mineralization associated with quartzofeldspathic rock in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_16/49367,79.633,21.698,1210.0,1402.0,1320.0,3012.0,2628.0,1871.0,0.39058172702789307,0.06808510422706604,1.0909091234207153,1.4045964479446411,30.86,1,authoritative_manganese_positive,BRS,Mineralization associated with quartzofeldspathic rock in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_17/49367,79.631,21.699,1195.0,1358.0,1354.0,3207.0,2737.0,1897.0,0.4062705636024475,0.07907133549451828,1.1330543756484985,1.4428044557571411,29.92,1,authoritative_manganese_positive,BRS,Mineralization associated with quartzofeldspathic rock in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_18/49367,79.642,21.674,1245.0,1416.0,1354.0,3110.0,2896.0,2054.0,0.3933691680431366,0.03563103452324867,1.087550163269043,1.4099318981170654,0.49,1,authoritative_manganese_positive,BRS,Mineralization associated light yellow color material hosted within schistose rock in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_19/49367,79.633,21.665,1243.0,1349.0,1366.0,2564.0,2940.0,2198.0,0.30483460426330566,-0.06831395626068115,1.098954200744629,1.337579607963562,0.22,1,authoritative_manganese_positive,BRS,Amphibolite pyroxene rock sample collected,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_20/49367,79.634,21.665,1210.0,1423.0,1404.0,3126.0,3033.0,2154.0,0.38013243675231934,0.015099854208528996,1.1603305339813232,1.4080779552459717,16.36,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_21/49367,79.634,21.665,1210.0,1423.0,1404.0,3126.0,3033.0,2154.0,0.38013243675231934,0.015099854208528996,1.1603305339813232,1.4080779552459717,27.28,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein in the old working pits,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_22/49367,79.637,21.662,1184.0,1367.0,1350.0,2811.0,2860.0,2059.0,0.3511175215244293,-0.008640451356768608,1.1402027606964111,1.389023780822754,8.88,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein with garnet,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_23/49367,79.638,21.666,1205.0,1393.0,1355.0,2786.0,2897.0,2096.0,0.3455687165260315,-0.019531937316060066,1.1244813203811646,1.382156491279602,0.52,1,authoritative_manganese_positive,BRS,Ferrogenus rock sulfide mineralization sample,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
